location=g-4-3, xdata=1153.632653, ydata=292.823869
location=g-5-1, xdata=1214.111801, ydata=217.224933
location=g-5-2, xdata=1188.912156, ydata=214.704969
location=g-5-3, xdata=1151.112689, ydata=207.145075
location=g-6-1, xdata=1219.151730, ydata=131.546140
location=g-6-2, xdata=1183.872227, ydata=121.466282
location=g-6-3, xdata=1151.112689, ydata=116.426353
location=h-1-1, xdata=901.636202, ydata=582.619787
location=h-1-2, xdata=939.435670, ydata=570.019965
location=h-1-3, xdata=967.155280, ydata=564.980035
location=h-2-1, xdata=906.676131, ydata=491.901065
location=h-2-2, xdata=941.955634, ydata=484.341171
location=h-2-3, xdata=972.195209, ydata=479.301242
location=h-3-1, xdata=906.676131, ydata=398.662378
location=h-3-2, xdata=941.955634, ydata=396.142413
location=h-3-3, xdata=974.715173, ydata=378.502662
location=h-4-1, xdata=906.676131, ydata=305.423691
location=h-4-2, xdata=936.915705, ydata=302.903727
location=h-4-3, xdata=969.675244, ydata=292.823869
location=h-5-1, xdata=904.156167, ydata=222.264862
location=h-5-2, xdata=941.955634, ydata=212.185004
location=h-5-3, xdata=967.155280, ydata=207.145075
location=h-6-1, xdata=901.636202, ydata=123.986247
location=h-6-2, xdata=941.955634, ydata=118.946318
location=h-6-3, xdata=969.675244, ydata=116.426353
location=i-1-1, xdata=810.917480, ydata=580.099823
location=i-1-2, xdata=780.677906, ydata=572.539929
location=i-1-3, xdata=747.918367, ydata=564.980035
location=i-2-1, xdata=813.437445, ydata=491.901065
location=i-2-2, xdata=778.157941, ydata=481.821207
location=i-2-3, xdata=745.398403, ydata=481.821207
location=i-3-1, xdata=818.477374, ydata=398.662378
location=i-3-2, xdata=778.157941, ydata=388.582520
location=i-3-3, xdata=747.918367, ydata=386.062555
location=i-4-1, xdata=810.917480, ydata=305.423691
location=i-4-2, xdata=778.157941, ydata=297.863798
location=i-4-3, xdata=747.918367, ydata=292.823869
location=i-5-1, xdata=813.437445, ydata=219.744898
location=i-5-2, xdata=778.157941, ydata=212.185004
location=i-5-3, xdata=750.438332, ydata=207.145075
location=i-6-1, xdata=810.917480, ydata=129.026176
location=i-6-2, xdata=780.677906, ydata=121.466282
location=i-6-3, xdata=745.398403, ydata=116.426353
location=j-1-1, xdata=475.762201, ydata=580.099823
location=j-1-2, xdata=508.521739, ydata=567.500000
location=j-1-3, xdata=536.241349, ydata=570.019965
location=j-2-1, xdata=473.242236, ydata=489.381100
location=j-2-2, xdata=511.041704, ydata=481.821207
location=j-2-3, xdata=541.281278, ydata=474.261313
location=j-3-1, xdata=473.242236, ydata=393.622449
location=j-3-2, xdata=508.521739, ydata=391.102484
location=j-3-3, xdata=538.761313, ydata=388.582520
location=j-4-1, xdata=473.242236, ydata=307.943656
location=j-4-2, xdata=506.001775, ydata=300.383762
location=j-4-3, xdata=533.721384, ydata=290.303904
location=j-5-1, xdata=470.722272, ydata=219.744898
location=j-5-2, xdata=511.041704, ydata=212.185004
location=j-5-3, xdata=536.241349, ydata=204.625111
location=j-6-1, xdata=473.242236, ydata=129.026176
location=j-6-2, xdata=508.521739, ydata=123.986247
location=j-6-3, xdata=541.281278, ydata=118.946318
location=k-1-1, xdata=382.523514, ydata=580.099823
location=k-1-2, xdata=347.244011, ydata=572.539929
location=k-1-3, xdata=317.004437, ydata=564.980035
location=k-2-1, xdata=382.523514, ydata=491.901065
location=k-2-2, xdata=349.763975, ydata=481.821207
location=k-2-3, xdata=317.004437, ydata=476.781278
location=k-3-1, xdata=382.523514, ydata=406.222272
location=k-3-2, xdata=349.763975, ydata=388.582520
location=k-3-3, xdata=319.524401, ydata=381.022626
location=k-4-1, xdata=382.523514, ydata=305.423691
location=k-4-2, xdata=352.283940, ydata=297.863798
location=k-4-3, xdata=317.004437, ydata=295.343833
location=k-5-1, xdata=380.003549, ydata=222.264862
location=k-5-2, xdata=349.763975, ydata=214.704969
location=k-5-3, xdata=322.044366, ydata=204.625111
location=k-6-1, xdata=377.483585, ydata=126.506211
location=k-6-2, xdata=347.244011, ydata=123.986247
location=k-6-3, xdata=319.524401, ydata=111.386424
location=l-1-1, xdata=42.328305, ydata=577.579858
location=l-1-2, xdata=75.087844, ydata=570.019965
location=l-1-3, xdata=110.367347, ydata=567.500000
location=l-2-1, xdata=39.808341, ydata=489.381100
location=l-2-2, xdata=80.127773, ydata=479.301242
location=l-2-3, xdata=107.847382, ydata=479.301242
location=l-3-1, xdata=44.848270, ydata=403.702307
location=l-3-2, xdata=75.087844, ydata=388.582520
location=l-3-3, xdata=105.327418, ydata=386.062555
location=l-4-1, xdata=47.368234, ydata=305.423691
location=l-4-2, xdata=75.087844, ydata=297.863798
location=l-4-3, xdata=107.847382, ydata=290.303904
location=l-5-1, xdata=44.848270, ydata=222.264862
location=l-5-2, xdata=72.567879, ydata=217.224933
location=l-5-3, xdata=107.847382, ydata=204.625111
location=l-6-1, xdata=44.848270, ydata=129.026176
location=l-6-2, xdata=77.607808, ydata=121.466282
location=l-6-3, xdata=112.887311, ydata=116.426353
